breach_type,data_exposed,records_affected,compensation_amount,case_type,jurisdiction,time_since_breach,user_impact_level,documents_available,proof_strength,prior_claims,location_match,severity_score,deadline_remaining_days,legal_complexity_score,similarity_to_past_cases,eligibility_label,success_probability
healthcare,credit_card,8635012,3213,settement,US,307,medium,3,high,0,1,93.0,30,5,0.52,1,0.7695
retail,credit_card,2000254,7286,lawsuit,US,16,medium,1,low,0,1,60.0,35,5,0.34,0,0.0
healthcare,SSN,4258341,118,breach,India,92,high,4,high,0,1,71.0,37,9,0.71,2,0.9057
finance,SSN,1513760,8281,settement,EU,104,low,2,low,0,1,57.0,94,5,0.05,0,0.0
tech,SSN,593632,9618,breach,India,53,low,0,low,0,1,52.0,158,8,0.95,0,0.0
retail,SSN,1373070,8212,lawsuit,India,211,high,2,medium,0,1,56.0,14,4,0.19,1,0.5331
tech,SSN,1620715,4695,breach,EU,220,low,4,medium,1,1,58.0,75,3,0.98,0,0.0
tech,SSN,9197866,4398,settement,India,178,medium,4,medium,0,1,95.0,97,2,0.92,2,0.7391
healthcare,password,212830,7718,lawsuit,EU,93,medium,0,high,0,1,21.0,77,10,0.28,0,0.0
tech,email,1706243,7095,settement,EU,198,high,5,high,1,0,28.0,33,1,0.59,1,0.5868
healthcare,password,8806586,1300,settement,EU,354,low,3,medium,1,1,64.0,144,5,0.96,0,0.0
healthcare,password,2608622,8722,breach,India,317,high,0,medium,1,0,33.0,134,10,0.9,1,0.5297
healthcare,credit_card,5182377,448,settement,EU,168,low,1,high,0,1,75.0,97,5,0.86,2,0.5205
tech,password,2323523,4022,settement,EU,262,high,2,medium,0,0,31.0,129,7,0.43,1,0.5618
finance,email,2651235,7131,lawsuit,India,167,high,0,medium,0,1,33.0,82,9,0.43,1,0.6065
finance,password,2895100,970,breach,US,89,low,4,medium,0,1,34.0,151,9,0.67,0,0.0
finance,credit_card,2983410,6416,breach,India,28,high,0,high,0,1,64.0,99,7,0.86,2,0.5873
tech,password,815422,2056,settement,EU,110,medium,1,medium,1,1,24.0,50,6,0.41,0,0.0
healthcare,password,7563116,2538,lawsuit,EU,156,medium,1,medium,1,1,57.0,50,10,0.54,0,0.0
tech,credit_card,3878809,6482,lawsuit,EU,140,medium,1,high,0,1,69.0,1,1,0.51,2,0.4513
healthcare,password,3302106,3085,breach,India,134,medium,3,medium,0,1,36.0,166,7,0.8,0,0.0
healthcare,SSN,6934705,9174,lawsuit,India,188,medium,2,medium,0,1,84.0,77,6,0.73,1,0.7346
healthcare,SSN,9805815,2835,lawsuit,EU,124,medium,2,high,0,0,99.0,153,6,0.7,2,0.4677
finance,credit_card,2168354,8511,settement,India,290,low,3,high,0,1,60.0,35,2,0.24,0,0.0
healthcare,SSN,1334572,4585,lawsuit,India,164,medium,3,high,0,1,56.0,66,9,0.48,0,0.0
retail,email,9597394,8467,lawsuit,India,127,low,1,low,0,0,67.0,64,8,0.61,0,0.0
tech,credit_card,7131030,1362,settement,US,43,low,0,medium,0,1,85.0,27,7,0.01,2,0.6091
healthcare,credit_card,6521645,680,settement,EU,232,high,5,medium,0,1,82.0,140,9,0.95,2,0.7051
retail,SSN,8976708,292,settement,EU,79,low,5,low,0,1,94.0,43,6,0.29,2,0.4142
finance,credit_card,9938093,3675,lawsuit,EU,4,high,5,high,1,0,99.0,30,2,0.45,2,0.6531
healthcare,SSN,6870989,4015,settement,India,208,medium,2,high,0,0,84.0,179,10,0.41,1,0.4002
finance,email,1358453,3394,settement,India,361,high,0,low,0,1,26.0,156,7,0.82,1,0.5985
tech,email,4511784,7583,lawsuit,India,338,medium,1,low,1,1,42.0,165,9,0.84,0,0.0
healthcare,password,4255849,1099,settement,US,203,high,3,medium,1,1,41.0,151,10,0.93,1,0.642
finance,email,3831121,9586,lawsuit,US,324,high,1,medium,0,1,39.0,157,7,0.4,1,0.5924
healthcare,SSN,5279172,4245,settement,India,268,low,4,high,0,0,76.0,2,4,0.68,1,0.7796
retail,SSN,3712584,8051,breach,US,210,high,1,high,0,1,68.0,156,7,0.63,2,0.5901
healthcare,SSN,966188,6509,settement,US,310,medium,4,low,1,1,54.0,79,7,0.14,0,0.0
retail,credit_card,6727451,3297,settement,India,309,medium,0,medium,0,0,83.0,65,4,0.07,1,0.4923
tech,credit_card,2410381,9235,lawsuit,EU,155,medium,0,low,0,0,62.0,95,5,0.64,2,0.4287
healthcare,password,8369352,2159,lawsuit,India,111,high,2,medium,0,1,61.0,124,4,0.0,1,0.6373
finance,password,4737319,2971,lawsuit,India,288,high,3,high,0,1,43.0,62,8,0.04,1,0.768
tech,credit_card,1295929,696,settement,India,153,medium,5,low,1,1,56.0,96,2,0.86,0,0.0
healthcare,email,6095645,2132,lawsuit,US,29,high,2,low,1,1,50.0,158,10,0.52,1,0.4416
finance,credit_card,9036949,9521,breach,India,110,high,4,high,0,1,95.0,165,7,0.16,2,0.8292
tech,email,6907117,7363,breach,India,181,high,0,high,0,1,54.0,4,3,0.65,1,0.6262
retail,password,7668857,3774,settement,India,196,high,3,low,0,1,58.0,101,1,0.29,1,0.4933
healthcare,email,1397436,8949,breach,EU,314,low,2,high,0,1,26.0,76,3,0.72,0,0.0
finance,password,3503626,4747,breach,India,47,medium,5,low,0,1,37.0,137,7,0.99,0,0.0
finance,email,1791008,5998,breach,US,111,high,4,medium,1,0,28.0,152,10,0.04,1,0.2979
healthcare,credit_card,5878809,2551,lawsuit,US,326,medium,1,high,1,1,79.0,48,1,0.63,1,0.4926
tech,password,5987417,3651,breach,US,331,medium,4,high,0,1,49.0,132,8,0.75,0,0.0
finance,credit_card,1963889,9773,breach,EU,39,low,4,high,0,1,59.0,124,6,0.86,0,0.0
healthcare,credit_card,6972138,8969,lawsuit,EU,287,high,5,low,0,0,84.0,15,7,0.92,2,0.5539
healthcare,credit_card,2132018,3362,settement,US,309,medium,2,medium,0,0,60.0,147,2,0.87,0,0.0
tech,credit_card,8434840,5355,settement,US,315,medium,0,medium,0,1,92.0,81,3,0.28,1,0.6204
retail,credit_card,240017,3982,settement,India,341,medium,2,high,1,1,51.0,138,1,0.16,0,0.0
finance,SSN,5421712,6560,breach,EU,158,medium,4,low,0,1,77.0,176,8,0.17,2,0.4526
retail,credit_card,451930,8497,settement,US,242,high,0,low,0,1,52.0,64,4,0.97,1,0.526
finance,credit_card,4557766,4600,breach,India,73,high,5,low,0,1,72.0,158,8,0.52,2,0.4887
healthcare,email,240968,3064,lawsuit,EU,363,high,4,medium,0,1,21.0,26,2,0.36,1,0.6081
tech,credit_card,8515668,9214,breach,EU,80,medium,4,low,0,1,92.0,59,1,0.93,2,0.5228
retail,SSN,5216622,7171,breach,EU,6,medium,0,high,0,0,76.0,84,3,0.16,2,0.2381
finance,SSN,3259084,9683,lawsuit,EU,226,medium,1,low,0,1,66.0,150,10,0.07,1,0.4098
healthcare,email,9180253,9132,breach,US,206,high,3,high,0,1,65.0,105,10,0.58,1,0.8853
healthcare,SSN,7504888,4217,lawsuit,EU,27,high,4,low,1,1,87.0,147,6,0.6,2,0.4247
healthcare,credit_card,5814775,9648,lawsuit,EU,102,low,3,low,0,1,79.0,125,5,0.78,2,0.5844
retail,email,3240536,4490,lawsuit,India,166,low,2,medium,0,1,36.0,26,4,0.83,0,0.0
healthcare,credit_card,9486961,2025,settement,India,357,low,1,high,0,1,97.0,18,1,0.58,1,0.4895
tech,email,1936090,6396,breach,US,62,medium,2,low,0,0,29.0,139,8,0.82,0,0.0
finance,credit_card,9168491,4571,breach,EU,113,high,4,low,0,0,95.0,87,10,0.37,2,0.3712
healthcare,password,7544159,153,settement,US,272,high,4,medium,1,1,57.0,101,9,0.31,1,0.4324
finance,SSN,8792690,182,lawsuit,US,357,low,2,medium,0,1,93.0,61,7,0.16,1,0.6199
finance,email,2364162,6501,breach,India,73,low,5,high,0,1,31.0,142,10,0.69,0,0.0
tech,email,2077475,5344,lawsuit,US,256,high,0,low,0,1,30.0,134,4,0.42,1,0.4585
healthcare,credit_card,1898501,6871,settement,US,28,high,3,low,0,1,59.0,154,3,0.1,1,0.4925
retail,email,2119433,4004,settement,EU,322,high,0,low,1,1,30.0,36,6,0.85,1,0.4331
finance,password,1578969,6911,settement,EU,116,low,0,medium,0,1,27.0,138,2,0.49,0,0.0
healthcare,credit_card,5671706,3079,breach,US,7,medium,1,medium,1,1,78.0,52,6,0.78,2,0.6344
healthcare,email,8021364,9527,lawsuit,US,144,high,3,medium,1,0,60.0,76,3,0.52,1,0.4072
retail,credit_card,9092044,4955,settement,US,83,medium,5,low,0,1,95.0,42,4,0.93,2,0.6296
tech,SSN,8334100,118,lawsuit,EU,298,high,3,low,0,0,91.0,135,1,1.0,2,0.5086
retail,SSN,7185872,8811,breach,India,71,high,4,medium,0,1,85.0,54,9,0.49,2,0.5797
tech,email,6920875,6260,lawsuit,India,210,medium,4,high,1,1,54.0,130,8,0.19,0,0.0
retail,credit_card,9137621,8811,settement,India,292,low,3,high,0,1,95.0,87,1,0.99,1,0.8825
retail,SSN,4143535,116,settement,India,57,medium,3,low,0,0,70.0,167,4,0.81,2,0.4143
tech,credit_card,8182883,1284,lawsuit,EU,38,high,1,medium,1,0,90.0,167,8,0.27,2,0.437
finance,email,5029035,2681,settement,India,278,low,0,medium,0,0,45.0,23,6,0.62,0,0.0
healthcare,email,4175482,3299,lawsuit,EU,303,low,2,low,0,0,40.0,112,2,0.47,0,0.0
healthcare,credit_card,9626105,589,lawsuit,India,205,medium,2,high,0,0,98.0,51,3,0.68,1,0.4529
tech,email,4903825,6420,settement,US,295,high,4,high,0,1,44.0,148,4,0.65,1,0.856
retail,SSN,3803177,3061,breach,India,118,medium,0,low,1,1,69.0,135,8,0.57,2,0.3847
healthcare,credit_card,8605008,6679,settement,India,136,high,2,high,0,1,93.0,76,10,0.19,2,0.4565
finance,email,7602748,3146,lawsuit,US,11,high,0,high,0,1,58.0,133,2,0.46,1,0.3948
healthcare,email,309623,3209,lawsuit,US,53,high,1,high,0,1,21.0,133,2,0.61,1,0.4068
healthcare,SSN,4689482,2928,breach,India,33,high,0,high,0,1,73.0,102,6,0.92,2,0.5929
finance,credit_card,9305991,789,breach,US,75,medium,1,low,0,1,96.0,54,3,0.82,2,0.5507
healthcare,SSN,2693794,9075,lawsuit,India,133,low,0,high,0,0,63.0,112,5,0.63,2,0.4946
retail,SSN,5533388,9517,settement,EU,112,low,5,medium,0,0,77.0,86,1,0.75,2,0.6237
finance,email,3294331,9383,lawsuit,EU,226,low,3,low,0,1,36.0,53,6,0.86,0,0.0
tech,email,3332106,4070,breach,US,292,low,0,medium,0,1,36.0,85,10,0.15,0,0.0
retail,email,5290730,5652,breach,India,208,medium,3,high,1,0,46.0,41,8,0.46,0,0.0
tech,SSN,3789963,7206,settement,EU,95,high,4,low,1,0,68.0,157,9,0.21,2,0.3074
tech,credit_card,1492633,1581,settement,EU,332,low,1,high,1,0,57.0,83,2,0.07,0,0.0
tech,SSN,7953017,3317,lawsuit,EU,33,medium,4,low,0,0,89.0,49,9,0.45,2,0.4979
retail,SSN,4856920,3730,lawsuit,US,67,medium,2,high,0,0,74.0,58,5,0.03,2,0.2727
tech,SSN,1410854,4607,breach,India,167,medium,4,low,1,1,57.0,140,3,0.56,0,0.0
finance,email,7691840,4390,breach,US,127,medium,2,medium,0,1,58.0,132,2,0.19,0,0.0
retail,password,4878708,6964,settement,EU,186,medium,1,low,0,1,44.0,80,10,0.61,0,0.0
healthcare,credit_card,4756976,7532,lawsuit,EU,359,medium,2,high,0,1,73.0,55,9,0.93,1,0.6772
finance,SSN,576919,3255,lawsuit,India,139,low,4,low,0,0,52.0,171,8,0.54,0,0.0
healthcare,email,2196690,522,lawsuit,EU,88,low,0,medium,0,0,30.0,91,4,0.17,0,0.0
tech,credit_card,8360922,5838,settement,India,177,low,4,medium,0,0,91.0,76,2,0.7,2,0.5955
tech,SSN,8853545,4724,lawsuit,India,112,high,1,low,0,1,94.0,168,10,0.51,2,0.5611
tech,password,329821,9580,settement,India,71,high,2,high,0,0,21.0,117,1,0.95,1,0.4763
healthcare,credit_card,8202428,1824,lawsuit,India,82,medium,1,medium,0,1,91.0,49,1,0.31,2,0.6062
retail,password,8438712,3799,lawsuit,EU,272,low,5,low,0,0,62.0,175,9,0.86,0,0.0
healthcare,credit_card,4750766,149,breach,EU,226,medium,2,low,0,0,73.0,95,2,0.08,1,0.2791
healthcare,credit_card,3585197,6418,breach,India,238,low,0,high,0,1,67.0,149,9,0.94,1,0.5266
retail,password,8282447,5588,settement,EU,248,medium,2,low,1,0,61.0,4,1,0.09,0,0.0
finance,email,7354172,3539,breach,EU,108,low,4,high,1,1,56.0,104,9,0.21,0,0.0
healthcare,SSN,2539568,9233,lawsuit,EU,226,high,4,low,0,1,62.0,59,4,0.43,2,0.4358
healthcare,password,4058025,4387,settement,EU,337,medium,5,low,0,0,40.0,51,8,0.46,0,0.0
healthcare,email,829791,7099,breach,EU,196,high,4,high,1,1,24.0,27,8,0.01,1,0.5321
healthcare,password,5001546,9524,lawsuit,EU,77,medium,2,medium,0,1,45.0,13,7,0.13,0,0.0
retail,SSN,7949140,5051,settement,EU,181,high,4,medium,0,1,89.0,135,2,0.42,2,0.5883
healthcare,email,6304745,7694,breach,EU,330,medium,0,medium,0,1,51.0,105,6,0.08,0,0.0
retail,SSN,6817525,7504,settement,EU,171,high,4,medium,0,0,84.0,99,5,0.52,2,0.4851
retail,password,2805802,1463,breach,US,69,high,2,high,0,1,34.0,15,7,0.71,1,0.63
healthcare,password,9427807,6532,settement,EU,7,high,2,high,0,1,67.0,109,6,1.0,1,0.6204
finance,password,5614201,7076,breach,US,169,medium,0,high,0,0,48.0,1,6,0.45,0,0.0
finance,password,1148116,8597,settement,India,287,low,1,low,1,1,25.0,103,6,0.65,0,0.0
finance,credit_card,9759681,8419,breach,EU,364,high,1,high,0,1,98.0,2,3,0.43,2,0.4946
finance,SSN,1353144,6647,lawsuit,India,240,high,2,medium,1,1,56.0,28,8,0.49,1,0.5221
finance,email,6025293,7208,settement,US,109,high,5,low,0,1,50.0,111,6,0.16,1,0.5204
healthcare,password,7229161,4376,breach,US,109,medium,2,medium,0,1,56.0,111,6,0.99,0,0.0
tech,password,3758985,4483,breach,US,205,medium,4,medium,0,0,38.0,128,3,0.12,0,0.0
finance,password,1682076,5266,lawsuit,US,252,low,1,low,0,1,28.0,146,6,0.79,0,0.0
healthcare,email,1491036,8334,breach,EU,322,high,0,low,0,1,27.0,136,2,0.67,1,0.5525
finance,credit_card,5135544,9443,lawsuit,India,175,low,0,low,0,0,75.0,142,5,0.47,2,0.4111
tech,SSN,2608411,9707,lawsuit,India,362,low,4,low,1,0,63.0,31,4,0.5,1,0.2355
retail,password,4157532,9177,lawsuit,US,39,low,0,medium,1,0,40.0,148,4,0.91,0,0.0
healthcare,SSN,6290249,228,breach,EU,293,high,3,medium,1,0,81.0,119,3,0.58,2,0.4885
finance,SSN,6429540,1029,settement,EU,188,high,2,medium,0,0,82.0,148,6,0.15,2,0.495
retail,password,7437754,9469,breach,India,204,high,0,medium,0,1,57.0,119,3,0.52,1,0.6311
tech,credit_card,4937600,7523,breach,India,273,medium,2,medium,0,0,74.0,54,4,0.35,1,0.5712
retail,email,4386010,1912,settement,EU,360,high,4,high,0,1,41.0,148,10,0.4,1,0.6946
finance,credit_card,6981571,4300,breach,India,12,low,5,medium,0,1,84.0,141,5,0.36,2,0.6682
healthcare,SSN,9016828,7082,settement,US,272,high,4,medium,0,1,95.0,44,1,0.38,2,0.5976
healthcare,password,5288913,2220,breach,US,306,low,5,medium,0,1,46.0,69,1,0.29,0,0.0
tech,password,6815612,8542,lawsuit,India,345,low,4,low,1,1,54.0,159,5,0.42,0,0.0
finance,password,4320453,9176,lawsuit,EU,79,high,0,medium,0,0,41.0,26,4,0.99,1,0.6855
finance,SSN,6776602,1061,lawsuit,EU,139,low,1,high,0,1,83.0,73,5,0.65,2,0.6324
finance,email,4514070,6351,lawsuit,EU,145,medium,0,high,0,0,42.0,167,4,0.27,0,0.0
healthcare,credit_card,3209823,6165,lawsuit,India,316,low,5,high,1,1,66.0,7,9,0.83,1,0.6555
finance,SSN,2902092,3175,breach,EU,225,high,0,low,0,1,64.0,7,8,0.5,2,0.436
finance,email,9959665,1010,breach,EU,37,high,5,medium,0,1,69.0,88,10,0.86,1,0.7205
finance,SSN,6281757,1031,lawsuit,EU,148,high,3,low,1,1,81.0,77,9,0.08,2,0.306
finance,credit_card,2583814,2152,lawsuit,US,154,low,4,low,0,1,62.0,138,1,0.55,2,0.512
tech,password,1370277,3209,lawsuit,EU,280,low,2,medium,0,1,26.0,145,8,0.37,0,0.0
retail,password,4934594,2048,lawsuit,EU,136,high,5,medium,0,1,44.0,44,5,0.8,1,0.7314
finance,email,4353892,7945,settement,EU,6,low,3,high,1,1,41.0,92,5,0.59,0,0.0
retail,email,143980,7447,lawsuit,India,122,low,5,medium,0,1,20.0,147,6,0.32,0,0.0
finance,SSN,9619395,3235,breach,EU,358,low,4,high,0,1,98.0,169,8,0.79,1,0.9236
tech,password,783877,7511,lawsuit,India,257,low,5,high,0,0,23.0,91,4,0.51,0,0.0
retail,SSN,423381,8875,lawsuit,EU,287,medium,2,medium,0,1,52.0,89,8,0.58,0,0.0
finance,email,9185536,8103,breach,EU,118,low,5,low,0,1,65.0,7,8,0.1,0,0.0
healthcare,password,8816995,5231,settement,US,237,low,0,low,0,1,64.0,16,8,0.61,0,0.0
tech,email,2665749,9207,settement,US,281,low,1,high,0,1,33.0,137,2,0.17,0,0.0
retail,SSN,8513558,3326,lawsuit,EU,89,high,4,high,0,1,92.0,101,8,0.17,2,0.7554
retail,SSN,3715379,1766,lawsuit,US,130,low,0,high,0,1,68.0,170,2,0.1,2,0.4664
retail,SSN,8728148,5154,breach,India,84,low,5,low,0,1,93.0,136,6,0.51,2,0.5071
retail,email,3821887,9108,settement,India,208,low,5,medium,0,1,39.0,3,1,0.34,0,0.0
finance,SSN,3518741,715,lawsuit,EU,8,medium,0,low,0,1,67.0,139,6,0.96,2,0.5823
retail,credit_card,2142912,7219,breach,India,102,high,4,high,0,0,60.0,46,3,0.79,1,0.728
retail,SSN,9164766,2975,breach,US,359,high,2,low,0,1,95.0,149,3,0.43,2,0.494
tech,SSN,7750972,7285,breach,US,336,high,1,medium,0,0,88.0,31,5,0.35,2,0.6453
tech,credit_card,6375825,9640,settement,India,100,low,1,low,1,1,81.0,145,10,0.63,2,0.4652
retail,email,3760505,4997,breach,India,295,low,1,high,0,1,38.0,40,5,0.71,0,0.0
retail,email,443939,2700,breach,EU,324,medium,4,medium,1,1,22.0,135,5,0.04,0,0.0
finance,SSN,3690024,2384,breach,EU,94,high,2,low,1,1,68.0,114,10,0.25,2,0.3657
tech,SSN,1154224,6937,breach,US,154,low,3,high,1,1,55.0,80,3,0.66,0,0.0
finance,credit_card,727331,506,lawsuit,EU,21,medium,3,medium,1,0,53.0,37,2,0.11,0,0.0
tech,email,5780277,1957,settement,India,319,low,0,medium,1,1,48.0,2,1,0.35,0,0.0
finance,SSN,8269541,6138,settement,US,23,high,0,high,0,1,91.0,96,9,0.59,2,0.591
healthcare,credit_card,6537295,1737,lawsuit,US,358,low,2,medium,0,1,82.0,48,2,0.73,1,0.6524
retail,credit_card,2321484,8851,lawsuit,US,251,low,1,high,0,1,61.0,9,5,0.94,1,0.5854
healthcare,credit_card,6209714,4880,breach,EU,293,low,5,low,0,0,81.0,5,3,0.29,1,0.2812
tech,SSN,1555205,924,settement,EU,25,low,3,high,0,1,57.0,179,6,0.17,0,0.0
healthcare,email,5093792,1173,settement,US,165,high,0,high,1,0,45.0,103,1,0.63,1,0.369
finance,SSN,488510,1913,breach,US,222,low,3,low,0,0,52.0,152,8,0.4,0,0.0
finance,SSN,5302358,1373,settement,US,139,low,3,medium,1,1,76.0,47,1,0.16,2,0.4769
tech,email,1253557,2003,settement,India,353,low,5,low,0,0,26.0,70,1,0.85,0,0.0
finance,credit_card,7135897,3268,lawsuit,US,354,medium,3,low,0,1,85.0,124,7,0.43,1,0.5049
finance,password,2277787,4434,breach,US,25,high,5,low,0,1,31.0,157,3,0.21,1,0.5188
tech,password,5731385,190,breach,US,46,high,3,medium,0,1,48.0,105,3,0.95,1,0.7254
healthcare,credit_card,9512997,2875,settement,US,170,medium,5,low,0,1,97.0,77,10,0.9,2,0.5902
retail,SSN,1761462,306,settement,US,150,low,5,medium,0,1,58.0,105,9,0.21,0,0.0
healthcare,SSN,1448947,175,lawsuit,US,131,low,3,low,0,1,57.0,20,6,0.18,0,0.0
finance,password,5171080,4366,lawsuit,EU,77,high,4,low,0,1,45.0,178,8,0.62,1,0.5169
retail,credit_card,6722308,2647,lawsuit,EU,126,high,3,low,0,0,83.0,160,10,0.98,2,0.4418
retail,credit_card,5433019,3639,lawsuit,India,164,high,1,low,0,0,77.0,50,8,0.53,2,0.4122
retail,credit_card,7905428,4896,breach,EU,158,high,0,medium,0,1,89.0,179,7,0.39,2,0.5788
healthcare,SSN,4526121,8335,lawsuit,EU,191,medium,4,high,0,1,72.0,65,6,0.19,1,0.6825
retail,SSN,2165563,6018,breach,US,356,high,3,high,0,1,60.0,106,1,0.8,1,0.8715
healthcare,credit_card,9961559,5430,lawsuit,India,177,low,5,low,0,0,99.0,109,1,0.72,2,0.4094
healthcare,SSN,7428297,189,lawsuit,EU,57,medium,4,medium,0,0,87.0,95,3,0.24,2,0.5329
tech,SSN,2190921,6056,lawsuit,EU,83,low,0,low,0,0,60.0,63,6,0.15,0,0.0
tech,password,6144326,8377,lawsuit,US,4,low,2,high,1,0,50.0,146,4,0.53,0,0.0
tech,email,7580751,3041,lawsuit,India,281,medium,0,high,1,1,57.0,122,10,0.27,0,0.0
tech,SSN,2514024,8412,settement,India,333,high,4,high,0,0,62.0,154,2,0.11,2,0.5749
healthcare,SSN,8900691,1205,lawsuit,EU,253,high,5,medium,0,1,94.0,92,4,0.79,2,0.729
healthcare,SSN,4585258,2710,breach,EU,118,medium,4,medium,1,1,72.0,21,10,0.23,2,0.4928
finance,credit_card,1417842,9599,lawsuit,US,47,high,2,medium,0,1,57.0,145,1,0.67,1,0.6297
tech,email,7438693,8364,breach,US,298,low,2,low,0,1,57.0,41,9,0.07,0,0.0
healthcare,SSN,7500412,4865,breach,US,281,low,4,low,0,1,87.0,4,1,0.4,1,0.4547
finance,password,689725,8126,breach,India,118,high,0,low,0,0,23.0,109,7,0.11,1,0.3213
healthcare,email,9374740,6945,settement,EU,182,low,5,medium,0,1,66.0,166,3,0.07,0,0.0
healthcare,SSN,4743297,9528,settement,US,345,low,2,low,1,1,73.0,168,3,0.58,1,0.3839
healthcare,password,5637289,5020,lawsuit,US,327,high,0,medium,0,1,48.0,142,1,0.96,1,0.6555
finance,SSN,2264429,907,breach,EU,4,low,2,medium,0,1,61.0,68,5,0.35,2,0.5969
healthcare,SSN,286622,2945,breach,US,333,high,0,high,0,1,51.0,128,9,0.81,1,0.6211
healthcare,credit_card,9269511,9965,breach,EU,34,medium,5,high,0,1,96.0,12,9,0.36,2,0.7445
finance,password,514313,8062,settement,US,270,high,1,medium,0,1,22.0,90,2,0.73,1,0.6116
retail,SSN,1708017,2132,breach,India,308,low,0,high,0,1,58.0,63,2,0.79,0,0.0
healthcare,password,5988029,1776,lawsuit,EU,158,low,3,high,0,0,49.0,90,7,0.64,0,0.0
finance,email,1479768,6178,breach,EU,319,low,5,low,1,1,27.0,115,5,0.94,0,0.0
finance,password,679841,1605,lawsuit,EU,364,low,2,medium,0,1,23.0,88,10,0.05,0,0.0
healthcare,SSN,4863894,7976,breach,US,93,medium,4,low,1,1,74.0,168,6,0.82,2,0.4309
finance,SSN,6083199,8651,breach,US,196,high,4,low,0,1,80.0,66,5,0.45,2,0.5943
retail,SSN,404322,370,lawsuit,US,121,medium,1,high,0,1,52.0,71,3,0.37,0,0.0
healthcare,email,22253,7585,breach,US,24,low,4,medium,0,0,20.0,116,4,0.73,0,0.0
finance,SSN,8349022,1747,lawsuit,EU,58,high,4,high,0,0,91.0,32,8,0.41,2,0.6906
finance,SSN,3437252,5908,lawsuit,EU,78,low,0,medium,0,1,67.0,12,5,0.9,2,0.6808
tech,SSN,2682206,8948,breach,EU,230,medium,5,high,0,1,63.0,102,3,0.19,1,0.7404
healthcare,password,8071297,2991,breach,India,181,medium,1,high,0,0,60.0,27,5,0.35,0,0.0
finance,password,6880771,8067,settement,US,236,low,3,medium,1,1,54.0,3,8,0.29,0,0.0
healthcare,SSN,9235082,750,breach,US,52,medium,3,medium,0,0,96.0,61,8,0.48,2,0.5981
healthcare,credit_card,5194734,3408,lawsuit,US,105,high,5,low,0,1,75.0,100,1,0.76,2,0.5762
tech,credit_card,5052646,2511,settement,US,36,high,3,medium,0,0,75.0,141,6,0.03,2,0.3891
finance,SSN,8804208,1330,lawsuit,India,12,low,3,low,0,1,94.0,114,4,0.24,2,0.5067
retail,credit_card,3673277,629,settement,US,213,high,2,high,0,1,68.0,129,3,0.17,2,0.4879
finance,SSN,4819750,9095,lawsuit,EU,204,high,2,low,1,1,74.0,150,2,0.92,2,0.3661
finance,email,4025733,3916,lawsuit,US,345,high,3,medium,0,1,40.0,98,4,0.37,1,0.6455
retail,email,7291213,2921,settement,EU,193,medium,5,medium,0,1,56.0,88,6,0.16,0,0.0
tech,password,7705694,6648,lawsuit,US,150,low,2,low,0,1,58.0,152,3,0.65,0,0.0
healthcare,email,6368712,3553,lawsuit,India,109,high,4,high,0,1,51.0,9,4,0.53,1,0.7882
finance,SSN,188771,689,settement,India,156,low,5,high,0,1,50.0,39,4,0.0,0,0.0
healthcare,credit_card,5071414,6624,lawsuit,India,350,high,0,medium,0,1,75.0,89,2,0.21,2,0.6312
tech,credit_card,289859,987,breach,EU,282,low,3,medium,0,0,51.0,135,7,0.8,0,0.0
retail,password,8742022,1910,settement,US,196,low,2,high,0,0,63.0,10,10,0.68,0,0.0
healthcare,email,7933310,1241,breach,India,91,high,1,medium,0,1,59.0,70,9,0.29,1,0.6113
healthcare,SSN,810178,1419,settement,India,113,low,4,medium,0,0,54.0,153,7,0.65,0,0.0
healthcare,email,2870729,2007,settement,EU,258,low,5,low,1,1,34.0,40,2,0.37,0,0.0
retail,SSN,6125386,4874,settement,US,286,low,3,low,0,0,80.0,115,5,0.01,1,0.366
tech,SSN,6696306,2861,lawsuit,EU,189,medium,0,medium,0,1,83.0,29,2,0.34,1,0.636
healthcare,credit_card,5100154,6611,lawsuit,EU,130,low,1,high,0,1,75.0,9,9,0.87,2,0.5382
retail,SSN,4424408,6397,settement,US,137,high,3,medium,0,1,72.0,72,4,0.45,2,0.6581
finance,email,6729926,6881,settement,US,11,high,3,high,0,0,53.0,170,2,0.55,1,0.7977
finance,password,4809163,2718,settement,India,104,medium,4,medium,0,1,44.0,30,2,0.47,0,0.0
retail,SSN,6041502,8517,settement,India,133,low,3,medium,0,1,80.0,42,6,0.66,2,0.7151
healthcare,credit_card,5009341,3204,lawsuit,US,293,high,1,high,1,0,75.0,71,10,0.11,2,0.2517
finance,SSN,2912190,240,lawsuit,US,321,high,4,low,0,1,64.0,115,5,0.87,2,0.5254
tech,password,2235805,2111,lawsuit,EU,271,low,2,low,0,0,31.0,71,6,0.18,0,0.0
finance,credit_card,1144647,5143,breach,US,194,low,4,low,0,1,55.0,51,7,0.3,0,0.0
finance,SSN,2333214,368,settement,India,38,medium,2,low,0,1,61.0,97,6,0.95,2,0.537
tech,credit_card,3330049,2887,lawsuit,US,181,high,1,medium,0,0,66.0,172,10,0.42,2,0.5214
tech,password,748419,592,settement,EU,261,high,5,medium,0,1,23.0,149,5,0.74,1,0.7378
retail,credit_card,4741039,9390,breach,EU,161,low,4,low,0,1,73.0,160,8,0.85,2,0.6023
